Unnamed: 0,participant,snapshot,bustersAgents.py_compiles,inference.py_compiles,bustersAgents.py_length,inference.py_length,q4_points,q6_points,q1_points,q5_points,q7_points,q2_points,q3_points,total_points,total_points_max,Prediction,Diff
193,P29,21,1,0,6890,21448,0,0,0,0,0,0,0,0,0,,
194,P3,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0,,
195,P3,1,1,0,6899,19986,0,0,0,0,0,0,0,0,0,"1
",
196,P3,2,1,0,6899,20288,0,0,0,0,0,0,0,0,0,"1
",
197,P3,3,1,0,6899,20411,0,0,0,0,0,0,0,0,0,"1
",
198,P3,4,1,0,6899,20468,0,0,0,0,0,0,0,0,0,"1
",
199,P3,5,1,0,6899,20413,0,0,0,0,0,0,0,0,0,"1
",
200,P3,6,1,0,6899,20489,0,0,0,0,0,0,0,0,0,"1
",
201,P3,7,1,0,6899,20583,0,0,0,0,0,0,0,0,0,"1
",
202,P3,8,1,0,6899,20662,0,0,0,0,0,0,0,0,0,"1
",
203,P3,9,1,0,6899,20685,0,0,0,0,0,0,0,0,0,"1
",
204,P3,10,1,0,6899,20897,0,0,0,0,0,0,0,0,0,"1
",
205,P3,11,1,0,6899,20935,0,0,0,0,0,0,0,0,0,"1
",
206,P3,12,1,0,6899,20935,0,0,0,0,0,0,0,0,0,"1
",
207,P3,13,1,0,6908,20944,0,0,0,0,0,0,0,0,0,"1
",
208,P30,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0,,
209,P30,1,1,1,6891,19912,0,0,0,0,0,0,0,0,0,,
210,P30,2,1,0,6891,20099,0,0,0,0,0,0,0,0,0,,
211,P30,3,1,0,6891,20302,0,0,0,0,0,0,0,0,0,,
212,P30,4,1,0,6891,20370,0,0,0,0,0,0,0,0,0,,
213,P30,5,1,0,6891,20347,0,0,0,0,0,0,0,0,0,,
214,P30,6,1,0,6891,20377,0,0,0,0,0,0,0,0,0,,
215,P30,7,1,0,6891,20344,0,0,0,0,0,0,0,0,0,,
216,P30,8,1,0,6891,20106,0,0,0,0,0,0,0,0,0,,
217,P30,9,1,0,6891,20106,0,0,0,0,0,0,0,0,0,,
218,P30,10,1,0,6891,20106,0,0,0,0,0,0,0,0,0,,
219,P30,11,1,0,6891,20114,0,0,0,0,0,0,0,0,0,,
220,P30,12,1,0,6891,20154,0,0,0,0,0,0,0,0,0,,
221,P30,13,1,0,6891,20172,0,0,0,0,0,0,0,0,0,,
222,P30,14,1,0,6891,20319,0,0,0,0,0,0,0,0,0,,
223,P30,15,1,0,6891,20348,0,0,0,0,0,0,0,0,0,,
224,P30,16,1,0,6891,20417,0,0,0,0,0,0,0,0,0,,
225,P30,17,1,0,6891,20405,0,0,0,0,0,0,0,0,0,,
226,P30,18,1,0,6891,20103,0,0,0,0,0,0,0,0,0,,
227,P30,19,1,0,6891,20422,0,0,0,0,0,0,0,0,0,,
228,P34,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0,,
229,P34,1,1,0,6891,19983,0,0,0,0,0,0,0,0,0,,
230,P34,2,1,0,6891,19983,0,0,0,0,0,0,0,0,0,,
231,P34,3,1,0,6891,20220,0,0,0,0,0,0,0,0,0,,
232,P34,4,1,0,6891,20420,0,0,0,0,0,0,0,0,0,,
233,P34,5,1,0,6891,20394,0,0,0,0,0,0,0,0,0,,
234,P34,6,1,0,6891,20450,0,0,0,0,0,0,0,0,0,,
235,P34,7,1,0,6891,20440,0,0,0,0,0,0,0,0,0,,
236,P34,8,1,0,6891,20737,0,0,0,0,0,0,0,0,0,,
237,P34,9,1,0,6891,20498,0,0,0,0,0,0,0,0,0,,
238,P42,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0,,
239,P42,1,1,1,6899,19913,0,0,0,0,0,0,0,0,0,,
240,P42,2,1,0,6899,20273,0,0,0,0,0,0,0,0,0,,
241,P42,3,1,0,6899,20261,0,0,0,0,0,0,0,0,0,,
242,P42,4,1,0,6899,20282,0,0,0,0,0,0,0,0,0,,
243,P42,5,1,0,6899,20397,0,0,0,0,0,0,0,0,0,,
244,P42,6,1,0,6899,20446,0,0,0,0,0,0,0,0,0,,
245,P42,7,1,0,6899,20507,0,0,0,0,0,0,0,0,0,,
246,P42,8,1,0,6899,20531,0,0,0,0,0,0,0,0,0,,
247,P42,9,1,0,6899,20350,0,0,0,0,0,0,0,0,0,,
248,P42,10,1,0,6899,20387,0,0,0,0,0,0,0,0,0,,
249,P42,11,1,0,6899,20477,0,0,0,0,0,0,0,0,0,,
250,P42,12,1,0,6899,20477,0,0,0,0,0,0,0,0,0,,
251,P42,13,1,0,6899,20542,0,0,0,0,0,0,0,0,0,,
252,P42,14,1,0,6899,20583,0,0,0,0,0,0,0,0,0,,
253,P42,15,1,0,6899,20575,0,0,0,0,0,0,0,0,0,,
254,P42,16,1,0,6899,20642,0,0,0,0,0,0,0,0,0,,
255,P42,17,1,0,6899,20642,0,0,0,0,0,0,0,0,0,,
256,P42,18,1,0,6899,20614,0,0,0,0,0,0,0,0,0,,
257,P42,19,1,0,6899,20445,0,0,0,0,0,0,0,0,0,,
258,P42,20,1,0,6899,20442,0,0,0,0,0,0,0,0,0,,
259,P43,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0,,
260,P43,1,1,0,6891,19951,0,0,0,0,0,0,0,0,0,,
261,P43,2,1,0,6891,19969,0,0,0,0,0,0,0,0,0,,
262,P43,3,1,0,6891,19987,0,0,0,0,0,0,0,0,0,,
263,P43,4,1,0,6891,20073,0,0,0,0,0,0,0,0,0,,
264,P43,5,1,0,6891,20107,0,0,0,0,0,0,0,0,0,,
265,P43,6,1,0,6891,20181,0,0,0,0,0,0,0,0,0,,
266,P43,7,1,0,6891,20237,0,0,0,0,0,0,0,0,0,,
267,P43,8,1,0,6891,20362,0,0,0,0,0,0,0,0,0,,
268,P43,9,1,0,6891,20412,0,0,0,0,0,0,0,0,0,,
269,P43,10,1,0,6891,20412,0,0,0,0,0,0,0,0,0,,
270,P43,11,1,0,6891,20436,0,0,0,0,0,0,0,0,0,,
271,P43,12,1,0,6891,20437,0,0,0,0,0,0,0,0,0,,
272,P43,13,1,0,6891,20436,0,0,0,0,0,0,0,0,0,,
273,P43,14,1,0,6891,20444,0,0,0,0,0,0,0,0,0,,
274,P43,15,1,0,6891,20561,0,0,0,0,0,0,0,0,0,,
275,P43,16,1,0,6891,20561,0,0,0,0,0,0,0,0,0,,
276,P43,17,1,0,6891,20694,0,0,0,0,0,0,0,0,0,,
277,P43,18,1,0,6891,20822,0,0,0,0,0,0,0,0,0,,
278,P43,19,1,0,6891,20824,0,0,0,0,0,0,0,0,0,,
279,P43,20,1,0,6891,20800,0,0,0,0,0,0,0,0,0,,
280,P43,21,1,0,6891,20797,0,0,0,0,0,0,0,0,0,,
281,P43,22,1,0,6891,20797,0,0,0,0,0,0,0,0,0,,
282,P43,23,1,0,6891,20808,0,0,0,0,0,0,0,0,0,,
283,P47,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0,,
284,P47,1,1,1,6900,19925,0,0,0,0,0,0,0,0,0,,
285,P47,2,1,1,6900,20050,0,0,0,0,0,0,0,0,0,,
286,P47,3,1,1,6900,20112,0,0,0,0,0,0,0,0,0,,
287,P47,4,1,1,6900,20198,0,0,0,0,0,0,0,0,0,,
288,P47,5,1,1,6900,20206,0,0,0,0,0,0,0,0,0,,
289,P47,6,1,1,6900,20274,0,0,0,0,0,0,0,0,0,,
290,P47,7,1,0,6900,20331,0,0,0,0,0,0,0,0,0,,
291,P47,8,1,0,6900,20400,0,0,0,0,0,0,0,0,0,,
292,P47,9,1,0,6900,20470,0,0,0,0,0,0,0,0,0,,
293,P47,10,1,0,6900,20633,0,0,0,0,0,0,0,0,0,,
294,P47,11,1,0,6900,20663,0,0,0,0,0,0,0,0,0,,
295,P47,12,1,0,6900,20663,0,0,0,0,0,0,0,0,0,,
296,P47,13,1,0,6900,20663,0,0,0,0,0,0,0,0,0,,
297,P47,14,1,0,6900,20712,0,0,0,0,0,0,0,0,0,,
298,P47,15,1,0,6900,20851,0,0,0,0,0,0,0,0,0,,
299,P47,16,1,0,6900,20864,0,0,0,0,0,0,0,0,0,,
300,P47,17,1,0,6900,20864,0,0,0,0,0,0,0,0,0,,
301,P47,18,1,0,6900,20864,0,0,0,0,0,0,0,0,0,,
302,P47,19,1,0,6900,20864,0,0,0,0,0,0,0,0,0,,
303,P47,20,1,0,6900,20864,0,0,0,0,0,0,0,0,0,,
304,P47,21,1,0,6900,21054,0,0,0,0,0,0,0,0,0,,
305,P47,22,1,0,6900,21113,0,0,0,0,0,0,0,0,0,,
306,P47,23,1,0,6900,21127,0,0,0,0,0,0,0,0,0,,
307,P47,24,1,0,6900,21127,0,0,0,0,0,0,0,0,0,,
308,P47,25,1,0,6900,21186,0,0,0,0,0,0,0,0,0,,
309,P47,26,1,0,6900,21198,0,0,0,0,0,0,0,0,0,,
310,P5,0,1,1,6891,19998,0,0,0,0,0,0,0,0,0,,
311,P5,1,1,1,6891,19998,0,0,0,0,0,0,0,0,0,,
312,P5,2,1,1,6891,19998,0,0,0,0,0,0,0,0,0,,
313,P5,3,1,1,6891,19998,0,0,0,0,0,0,0,0,0,,
314,P5,4,1,1,6891,19998,0,0,0,0,0,0,0,0,0,,
315,P5,5,1,1,6891,19998,0,0,0,0,0,0,0,0,0,,
316,P5,6,1,0,6891,20014,0,0,0,0,0,0,0,0,0,,
317,P5,7,1,0,6891,20617,0,0,0,0,0,0,0,0,0,,
318,P5,8,1,0,6891,20718,0,0,0,0,0,0,0,0,0,,
319,P5,9,1,0,6891,21027,0,0,0,0,0,0,0,0,0,,
320,P5,10,1,0,6891,21610,0,0,0,0,0,0,0,0,0,,
321,P5,11,1,0,6891,21908,0,0,0,0,0,0,0,0,0,,
322,P5,12,1,0,6891,21997,0,0,0,0,0,0,0,0,0,,
323,P5,13,1,0,6891,22133,0,0,0,0,0,0,0,0,0,,
324,P5,14,1,0,6891,22207,0,0,0,0,0,0,0,0,0,,
325,P5,15,1,0,6891,22285,0,0,0,0,0,0,0,0,0,,
326,P5,16,1,0,6891,22462,0,0,0,0,0,0,0,0,0,,
327,P5,17,1,0,6891,22789,0,0,0,0,0,0,0,0,0,,
328,P5,18,1,0,6891,23281,0,0,0,0,0,0,0,0,0,,
329,P5,19,1,0,6891,23498,0,0,0,0,0,0,0,0,0,,
330,P5,20,1,0,6891,23532,0,0,0,0,0,0,0,0,0,,
331,P5,21,1,0,6891,23526,0,0,0,0,0,0,0,0,0,,
332,P5,22,1,0,6891,23688,0,0,0,0,0,0,0,0,0,,
333,P5,23,1,0,6891,23658,0,0,0,0,0,0,0,0,0,,
334,P5,24,1,0,6958,24060,0,0,0,0,0,0,0,0,0,,
335,P5,25,1,0,7248,24060,0,0,0,0,0,0,0,0,0,,
336,P5,26,0,0,7420,24060,0,0,0,0,0,0,0,0,0,,
337,P5,27,0,0,8098,24060,0,0,0,0,0,0,0,0,0,,
338,P5,28,0,0,8329,24060,0,0,0,0,0,0,0,0,0,,
339,P5,29,0,0,8500,24060,0,0,0,0,0,0,0,0,0,,
340,P5,30,0,0,8511,24060,0,0,0,0,0,0,0,0,0,,
341,P5,31,0,0,8511,24233,0,0,0,0,0,0,0,0,0,,
342,P5,32,0,0,8511,24233,0,0,0,0,0,0,0,0,0,,
343,P5,33,0,0,8511,24289,0,0,0,0,0,0,0,0,0,,
344,P5,34,0,0,8511,24289,0,0,0,0,0,0,0,0,0,,
345,P5,35,0,0,8511,24289,0,0,0,0,0,0,0,0,0,,
346,P5,36,0,0,8511,24289,0,0,0,0,0,0,0,0,0,,
347,P5,37,0,0,8511,24289,0,0,0,0,0,0,0,0,0,,
348,P5,38,0,0,8511,24289,0,0,0,0,0,0,0,0,0,,
349,P5,39,0,0,8511,24358,0,0,0,0,0,0,0,0,0,,
350,P5,40,0,0,8511,24445,0,0,0,0,0,0,0,0,0,,
351,P5,41,0,0,8511,24549,0,0,0,0,0,0,0,0,0,,
352,P5,42,0,0,8511,24753,0,0,0,0,0,0,0,0,0,,
353,P5,43,0,0,8511,25273,0,0,0,0,0,0,0,0,0,,
354,P5,44,0,0,8511,25969,0,0,0,0,0,0,0,0,0,,
355,P5,45,0,0,8511,26526,0,0,0,0,0,0,0,0,0,,
356,P5,46,0,0,8511,26755,0,0,0,0,0,0,0,0,0,,
357,P5,47,0,0,8511,26720,0,0,0,0,0,0,0,0,0,,
358,P5,48,0,0,8511,26885,0,0,0,0,0,0,0,0,0,,
359,P5,49,0,0,8511,27055,0,0,0,0,0,0,0,0,0,,
360,P5,50,0,0,8511,27080,0,0,0,0,0,0,0,0,0,,
361,P5,51,0,0,8511,27381,0,0,0,0,0,0,0,0,0,,
362,P5,52,0,0,8511,27354,0,0,0,0,0,0,0,0,0,,
363,P8,0,1,1,6891,19948,0,0,0,0,0,0,0,0,0,,
364,P8,1,1,1,6891,20163,0,0,0,0,0,0,0,0,0,,
365,P8,2,1,1,6891,20265,0,0,0,0,0,0,0,0,0,,
366,P8,3,1,1,6891,20359,0,0,0,0,0,0,0,0,0,,
367,P8,4,1,1,6891,20379,0,0,0,0,0,0,0,0,0,,
368,P8,5,1,1,6891,20507,0,0,0,0,0,0,0,0,0,,
369,P8,6,1,1,6891,20660,0,0,0,0,0,0,0,0,0,,
370,P8,7,1,1,6891,20655,0,0,0,0,0,0,0,0,0,,
371,P8,8,1,1,6891,20655,0,0,0,0,0,0,0,0,0,,
372,P8,9,1,1,6891,20688,0,0,0,0,0,0,0,0,0,,
373,P8,10,1,1,6891,20739,0,0,0,0,0,0,0,0,0,,
374,P8,11,1,1,6891,20777,0,0,0,0,0,0,0,0,0,,
375,P8,12,1,1,6891,20810,0,0,0,0,0,0,0,0,0,,
376,P9,0,1,1,6891,19913,0,0,0,0,0,0,0,0,0,,
377,P9,1,1,1,6921,19924,0,0,0,0,0,0,0,0,0,,
378,P9,2,1,1,6921,20123,0,0,0,0,0,0,0,0,0,,
379,P9,3,1,0,6921,20463,0,0,0,0,0,0,0,0,0,,
380,P9,4,1,0,6921,20463,0,0,0,0,0,0,0,0,0,,
381,P9,5,1,0,6921,20463,0,0,0,0,0,0,0,0,0,,
382,P9,6,1,0,6921,20505,0,0,0,0,0,0,0,0,0,,
383,P9,7,1,0,6921,20796,0,0,0,0,0,0,0,0,0,,
384,P9,8,1,0,6921,20796,0,0,0,0,0,0,0,0,0,,
385,P9,10,1,0,6921,21006,0,0,0,0,0,0,0,0,0,,
386,P9,11,1,0,6921,21242,0,0,0,0,0,0,0,0,0,,
387,P9,12,1,0,6921,21409,0,0,0,0,0,0,0,0,0,,
388,P9,13,1,0,6921,21409,0,0,0,0,0,0,0,0,0,,
389,P9,14,1,0,6921,21419,0,0,0,0,0,0,0,0,0,,
